Gene_ID	TET1_ALT_1	TET1_ALT_2	TET1_ALT_3	Empty_Vector_1	Empty_Vector_2	Empty_Vector_3	TET1_FL_1	TET1_FL_2	TET1_FL_3
ECD	941.125	947.061	998.654	1032.64	996.998	1029.82	910.228	831.935	933.753
ZNRF1	273.529	292.128	329.802	247.946	251.1	260.512	213.849	269.936	230.426
ZFPM1	142.688	166.93	137.161	121.156	128.943	120.381	159.016	153.775	120.484
GPC2	81.9042	96.2542	83.2212	76.0744	74.0345	74.2976	63.058	75.2282	75.3026
THUMPD2	1014.27	920.809	935.468	1186.9	1042.04	1067.44	907.486	771.089	881.041
ZBED5	841.707	849.46	812.177	858.655	927.9	942.357	753.954	637.227	728.93
PDE4D	513.06	496.079	470.046	553.652	520.71	531.369	578.488	588.55	609.951
RAD54B	1066.72	995.167	962.985	1357.56	1200.82	1104.58	1359.78	1166.65	1319.25
SNORA20	9.27217	16.1546	13.8702	18.3142	17.8917	20.6905	21.9332	12.1693	6.02421
FAM178A	1578.84	1701.61	1587.37	1721.54	1762.02	1719.19	1570.97	1451.46	1588.89
IREB2	4294.04	4379.23	3936.05	4639.84	4477.24	4693.91	4592.26	4299.07	4430.81
IER5L	307.527	329.149	405.318	244.424	277.013	270.857	268.682	269.936	245.487
SLC2A1	1123.99	1105.91	1171.26	1034.02	1098.17	1014.77	1091.18	1125.1	1075.32
SLC26A11	329.677	304.917	326.72	264.852	274.545	305.655	348.19	381.672	304.223
VPS51	2147.02	2160	2388.76	1869.46	2054.46	2006.03	2113.81	2614.18	2393.12
TIGD5	642.87	650.894	713.545	509.276	592.893	605.666	435.922	548.723	487.961
KCNG1	576.42	591.66	667.311	483.918	541.069	540.774	468.822	587.444	498.504
ISYNA1	5438.71	5576.85	5905.94	4985	5308.04	5266.42	5084.7	6069.35	5196.81
RAB31	1634.99	1634.3	1616.65	1689.13	1645.42	1662.76	1664.18	1637.32	1617.5
C21orf2	252.924	271.262	298.98	212.727	251.1	213.488	186.432	246.704	195.787
KNTC1	3342.1	3438.9	3279.53	3500.13	3509.24	3447.78	3712.19	3721.58	4361.53
HOXA13	353.888	350.688	376.036	307.115	326.369	343.274	386.573	284.318	355.428
IMPACT	1877.61	1742.67	1701.41	2027.95	1998.93	1867.79	2426.36	2311.05	2539.21
PIP5KL1	24.2107	28.2705	20.0347	12.6791	17.2747	18.8095	21.9332	29.87	27.109
TRIM4	937.004	953.792	992.49	897.397	930.984	899.095	1030.86	1084.17	1090.38
BEGAIN	47.9062	49.1368	36.9872	23.245	30.8477	36.6786	35.6415	57.5274	55.724
ZNF518B	1230.11	1160.44	1229.82	1249.59	1369.02	1337.36	1107.63	1195.91	1247.01
KIAA1009	417.763	393.094	372.954	424.045	430.017	434.5	361.898	392.735	409.646
LPL	36.0584	37.0208	35.4461	40.1504	42.5699	37.619	101.441	66.3778	75.3026
MBD3	2152.17	2250.87	2173	2099.8	2121.09	2023.9	1784.81	2152.85	1947.33
LEPR	698.046	665.851	591.291	744.455	721.719	744.996	857.842	696.009	760.61
HIST2H2BF	3243.2	2705.89	3210.18	2646.4	2058.16	2502.61	3531.25	2871.95	1620.51
SCN9A	185.443	181.066	141.784	204.978	201.744	215.369	197.399	216.834	221.39
TJP3	39.1492	40.3848	40.0692	36.6284	30.8476	36.6771	41.1239	66.3774	43.6755
IMPA2	343.07	327.13	359.084	327.543	291.819	291.548	378.348	337.421	353.922
WDR11	1997.64	1989.7	1997.31	2021.61	2094.56	2040.83	2294.76	2020.1	2364.5
DDX60	78.8134	90.8694	94.0091	97.9106	100.564	104.393	79.5079	98.4604	93.3753
SNORA58	3.60584	1.34621	3.08227	7.74832	4.93564	4.70238	2.74165	2.21259	4.51816
KBTBD3	112.811	116.472	129.455	107.786	106.758	98.7631	148.047	111.736	120.538
GALR2	22.1502	34.3284	26.1993	14.7923	17.8917	19.75	5.4833	18.8071	19.5787
FAM43A	276.105	273.954	305.144	201.456	246.782	254.869	331.74	288.744	269.583
G6PD	1647.83	1688.1	1699.52	1496.52	1524.39	1642.76	1680.63	1931.59	1661.18
ZNF138	506.879	485.31	471.587	509.276	526.879	517.262	545.588	439.2	503.022
STARD10	361.615	379.632	442.305	335.995	328.22	327.286	331.74	382.779	358.441
SRP72	3792.32	3629.39	3774.23	4110.84	3879.41	3904.86	3895.89	3625.34	3430.79
RASSF2	457.427	473.194	454.634	489.553	515.157	477.762	389.314	443.625	433.743
MFF	1267.71	1213.61	1242.15	1402.45	1339.41	1280.93	1337.93	1215.82	1286.17
ZFAND4	318.344	303.571	282.027	354.31	330.071	326.345	345.448	327.464	358.441
CHRD	190.595	181.066	195.724	147.923	180.151	158	227.557	252.236	213.86
FADS3	331.738	308.956	340.59	308.524	288.118	298.131	301.582	381.672	350.91
TOB2P1	55.633	57.8871	50.8574	60.5778	80.2041	70.5357	63.058	67.4841	63.2542
RAB10	3462.12	3258.51	3219.43	3612.83	3513.56	3477.88	3440.77	3165.12	3277.17
EIF4E3	500.634	494.765	464.694	555.766	510.222	585.916	669.988	545.906	548.203
PILRA	8.75705	12.1159	6.16453	13.3835	12.956	15.9881	2.74165	6.63778	10.5424
PABPC4L	639.265	633.393	593.336	681.852	701.477	647.988	732.021	578.593	620.494
KIAA0226L	75.7227	81.4459	60.1042	90.8667	99.3297	85.5833	87.7328	108.417	96.3874
AES	1514.97	1448.52	1570.41	1447.53	1388.15	1369.33	1442.11	1610.77	1411.17
ESCO2	835.525	753.879	867.658	955.157	909.391	892.512	943.128	800.959	865.98
HS6ST2	2182.57	2033.45	2106.73	2301.25	2267.31	2183.78	2270.09	2130.73	2415.71
TUBA4A	213.495	226.322	234.352	201.912	207.122	212.468	177.816	254.188	224.515
ASGR1	18.0292	21.5394	20.0347	24.6538	22.2104	22.5714	30.1582	22.1259	21.0847
LOC100270804	38.3545	34.9942	29.3168	39.8487	45.0308	41.3794	60.853	37.0745	48.1938
MED24	2628.14	2570.59	2632.26	2312.51	2549.87	2416.08	2270.09	2473.68	2432.28
